z_over_L,feed_pressure_pa,permeate_pressure_pa,feed_flow_kmol_s,permeate_flow_kmol_s,x_fast,y_fast,x_mid,y_mid,x_slow,y_slow
0.001,1000000.0,166252.12346775582,0.0009595373827918739,2.08472380332518e-06,4.875197742540197e-07,2.6332491757320675e-06,0.03393589934139839,0.1301764390763262,0.9660636131388274,0.8698209276744829
0.003,1000000.0,166251.6943535909,0.0009616221065951991,4.171782469036258e-06,4.921715528769077e-07,2.6557791211289214e-06,0.03414454153322637,0.13072517000468076,0.9658549662952207,0.8692721742161823
0.005,1000000.0,166251.0503170746,0.0009637091652609102,6.2612005374425815e-06,4.969059113352913e-07,2.678673000884922e-06,0.034354888593653314,0.13127704282227104,0.9656446145004353,0.868720278504726
0.007,1000000.0,166250.19111018835,0.0009657985833293165,8.353002786985818e-06,5.017248580023384e-07,2.701938882643517e-06,0.034566954750256756,0.13183207357266827,0.9654325435248853,0.8681652244884478
0.009,1000000.0,166249.1164814991,0.0009678903855788598,1.0447214236205399e-05,5.066304599882e-07,2.725585050291387e-06,0.034780754325364364,0.13239027830839428,0.9652187390441757,0.8676069961065507
0.011,1000000.0,166247.82617613123,0.0009699845970280793,1.2543860145711552e-05,5.116248450819617e-07,2.7496200105337543e-06,0.03499630173615001,0.13295167308944944,0.9650031866390049,0.8670455772905348
0.013,1000000.0,166246.31993573785,0.0009720812429375855,1.464296602016516e-05,5.16710203763517e-07,2.7740524996879877e-06,0.03521361149471757,0.13351627398182683,0.9647858717950786,0.8664809519656712
0.015,1000000.0,166244.59749847202,0.0009741803488120391,1.6744557610266515e-05,5.218887912880363e-07,2.798891490702734e-06,0.03543269820817213,0.1340840970559722,0.9645667799030366,0.8659131040525366
0.017,1000000.0,166242.65859895776,0.0009762819404021404,1.8848660914751983e-05,5.271629298458091e-07,2.8241462004110016e-06,0.03565357657867812,0.1346551583852288,0.9643458962583921,0.8653420174685742
0.019,1000000.0,166240.5029682605,0.000978386043706626,2.0955302182396637e-05,5.325350108003497e-07,2.8498260970256036e-06,0.03587626140350429,0.13522947404426464,0.964123206061485,0.8647676761296378
0.021,1000000.0,166238.13033385755,0.0009804926849742706,2.3064507914025124e-05,5.380074970077737e-07,2.8759409078851673e-06,0.03610076757505526,0.13580706010746207,0.9638986944174478,0.8641900639516253
0.023,1000000.0,166235.5404196081,0.000982601890705899,2.5176304864529364e-05,5.435829252205679e-07,2.902500627459746e-06,0.036327110080889076,0.13638793264728294,0.9636723463361856,0.8636091648520897
0.025,1000000.0,166232.73294572302,0.0009847136876564033,2.729072004489417e-05,5.492639085790051e-07,2.9295155256252483e-06,0.03655530400372079,0.13697210773260488,0.9634441467323707,0.8630249627518721
0.027,1000000.0,166229.70762873432,0.000986828102836768,2.9407780724227737e-05,5.550531391935839e-07,2.956996156216405e-06,0.036785364521411526,0.13755960142703827,0.9632140804254494,0.8624374415768069
0.029,1000000.0,166226.46418146434,0.0009889451635161017,3.1527514431799295e-05,5.609533908220093e-07,2.9849533658679643e-06,0.03701730690694293,0.13815042978720923,0.9629821321396663,0.861846585259423
0.031,1000000.0,166223.00231299465,0.0009910648972236732,3.364994895908434e-05,5.669675216443692e-07,3.013398303154383e-06,0.03725114652837645,0.13874460886101528,0.9627482865041018,0.8612523777406799
0.033,1000000.0,166219.32172863468,0.0009931873317509583,3.5775112361814665e-05,5.730984771403116e-07,3.0423424280388985e-06,0.03748689884879741,0.13934215468585476,0.9625125280527255,0.8606548029717185
0.035,1000000.0,166215.42212988998,0.0009953124951536886,3.790303296203506e-05,5.793492930721779e-07,3.071797521642794e-06,0.03772457942624328,0.13994308328682803,0.9622748412244637,0.8600538449156496
0.037,1000000.0,166211.30321443029,0.000997440415753909,4.003373935016483e-05,5.857230985782042e-07,3.101775696346541e-06,0.037964203913616025,0.14054741067491372,0.9620352103632854,0.8594494875493901
0.039,1000000.0,166206.9646760572,0.0009995711221420388,4.216726038706647e-05,5.922231193800756e-07,3.132289406234397e-06,0.038205788058578244,0.14115515284511013,0.9617936197183025,0.8588417148654837
0.041,1000000.0,166202.40620467163,0.0010017046431789404,4.43036252061169e-05,5.988526811092798e-07,3.163351457895251e-06,0.03844934770343245,0.14176632577455905,0.9615500534438864,0.8582305108739826
0.043,1000000.0,166197.62748624088,0.0010038410079979908,4.644286321528674e-05,6.056152127568978e-07,3.1949750215919213e-06,0.03869489878498365,0.14238094542062962,0.9613044955998036,0.8576158596043475
0.045,1000000.0,166192.62820276548,0.0010059802460071607,4.858500409922267e-05,6.125142502516424e-07,3.227173642812657e-06,0.03894245733438442,0.14299902771898243,0.9610569301513653,0.8569977451073723
0.047,1000000.0,166187.4080322457,0.0010081223868910966,5.073007782133447e-05,6.195534401711635e-07,3.2599612542183663e-06,0.03919203947696248,0.14362058858160137,0.9608073409695973,0.8563761514571431
0.049,1000000.0,166181.96664864768,0.0010102674606132084,5.287811462588801e-05,6.267365435918327e-07,3.2933521879997568e-06,0.03944366143203029,0.14424564389479433,0.9605557118314261,0.8557510627530177
0.051,1000000.0,166176.3037218694,0.001012415497417762,5.502914504009989e-05,6.340674400824273e-07,3.327361188659434e-06,0.0396973395126762,0.14487420951717206,0.9603020264198837,0.855122463121637
0.053,1000000.0,166170.41891770618,0.0010145665278319738,5.7183199876236043e-05,6.415501318473654e-07,3.362003426234161e-06,0.039953090125537175,0.14550630127759645,0.9600462683243309,0.8544903367189768
0.055,1000000.0,166164.31189781602,0.00101672058266811,5.934031023371769e-05,6.491887480253609e-07,3.397294509972947e-06,0.04021092977055242,0.1461419349730917,0.9597884210406995,0.8538546677323978
0.057,1000000.0,166157.9823196845,0.0010188776930255916,6.150050750122445e-05,6.569875491496059e-07,3.4332505024880524e-06,0.04047087504069758,0.14678112636674126,0.9595284679717533,0.853215440382756
0.059,1000000.0,166151.4298365894,0.0010210378902930984,6.366382335880663e-05,6.649509317758427e-07,3.4698879343953146e-06,0.04073294262169945,0.14742389118553992,0.9592663924273688,0.8525726389265247
0.061,1000000.0,166144.65409756507,0.0010232012061506806,6.583028977999504e-05,6.730834332849334e-07,3.507223819462225e-06,0.040997149291730366,0.14807024511823058,0.9590021776248363,0.8519262476579507
0.063,1000000.0,166137.6547473664,0.001025367672571869,6.799993903391715e-05,6.813897368668172e-07,3.545275670281621e-06,0.04126351192108247,0.14872020381310258,0.9587358066891808,0.8512762509112273
0.065,1000000.0,166130.4314264325,0.001027537321825791,7.017280368741324e-05,6.898746766930084e-07,3.58406151449047e-06,0.04153204747182103,0.14937378287576472,0.9584672626535023,0.8506226330627211
0.067,1000000.0,166122.98377085006,0.0010297101864792872,7.234891660715494e-05,6.985432432850938e-07,3.6235999115533807e-06,0.04180277299741666,0.1500309978668892,0.9581965284593401,0.8499653785331986
0.069,1000000.0,166115.31141231634,0.0010318862993990289,7.45283109617644e-05,7.0740058908698e-07,3.663909970131491e-06,0.04207570564235612,0.1506918642999276,0.9579235869570548,0.8493044717901027
